FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
N60465,2015072201,2015,Lightning,2015-N60465,1.1,2015 ROLLOVER,20150729003628,20150728174016,20150720,OZIX,JA70003000,,1845080,11093.2611,393.8571,,
N60475,2015072102,2015,Lightning,2015-N60475,3.3000000000000003,2015 ROLLOVER,20150729113019,20150729113019,20150720,OZIX,JA70003000,,1845081,33470.4275,875.6116000000001,,
V10413,2015081301,2015,Lightning,2015-V10413,0.3,2015 ROLLOVER,20150813,20150921160429,20150812,Hand sketch of any type                           ,JA70003000,,1845145,3733.8619000000003,310.5106,,
V30005,2015041701,2015,Person,2015-V30005,1.5,2015 ROLLOVER,20150417,20150430130933,20150413,OZIX,JA70003000,,1845146,15244.3724,797.4867,,
V30080,2015052801,2015,Lightning,2015-V30080,5.7,2015 ROLLOVER,20150528,20150604154542,20150521,OZIX,JA70003000,,1845147,57394.22,1248.4719,,
V30160,2015081401,2015,Lightning,2015-V30160,12495.2,2015 ROLLOVER,20150814,20150814140144,20150521,OZIX,JA70003000,,1845148,124952572.6626,124969.2807,,
V30209,2015062901,2015,Lightning,2015-V30209,2,2015 ROLLOVER,20150629,20150630091104,20150521,OZIX,JA70003000,,1845149,20893.9205,828.565,,
V30241,2015081201,2015,Lightning,2015-V30241,6683.5,2015 ROLLOVER,20150812,20150813133847,20150630,OZIX,JA70003000,,1845150,66835098.1145,73106.1796,,
G90271,2016041101,2015,Lightning,2015-G90271,2,2015 ROLLOVER,20160411,20160411112615,20150624,Derived from satellite imagery                    ,JA70003000,,1844909,20477.5988,786.5335,,
G90272,2015072801,2015,Lightning,2015-G90272,2,2015 ROLLOVER,20150628,20150721084838,20150625,OZIX,JA70003000,,1844910,20690.3022,825.1332,,
G90276,2015072901,2015,Lightning,2015-G90276,26.6,2015 ROLLOVER,20150729,20150729172924,20150625,OZIX,JA70003000,,1844911,266555.6559,2720.1103000000003,,
G90283,2015072901,2015,Lightning,2015-G90283,27.2,2015 ROLLOVER,20150729,20150729162833,20150624,OZIX,JA70003000,,1844912,272811.2705,2765.0304,,
G90287,2015072801,2015,Lightning,2015-G90287,1918.3,2015 ROLLOVER,20150728,20150728172423,20150625,OZIX,JA70003000,,1844913,19183899.5134,24559.8709,,
G90292,2015070401,2015,Lightning,2015-G90292,2421.1,2015 ROLLOVER,20150704,20150707151548,20150625,OZIX,JA70003000,,1844914,24211485.7624,27098.5705,,
K60326,2015071701,2015,Lightning,2015-K60326,1.4000000000000001,2015 ROLLOVER,20150717,20150822112725,20150710,OZIX,JA70003000,,1844997,14524.826700000001,1236.5088,,
K60332,2015071301,2015,Lightning,2015-K60332,25.900000000000002,2015 ROLLOVER,20150713,20150824091900,20150710,OZIX,JA70003000,,1844998,259913.5036,2875.1204000000002,,
K60380,2015071801,2015,Person,2015-K60380,45.4,2015 ROLLOVER,20150718165957,20150718100022,20150717,OZIX,JA70003000,,1844999,454183.4021,3219.5045,,
N60479,2015072801,2015,Lightning,2015-N60479,6.8,2015 ROLLOVER,20150728,20150729134203,20150720,OZIX,JA70003000,,1845082,68321.1751,1786.144,,
N60483,2015072401,2015,Lightning,2015-N60483,8.9,2015 ROLLOVER,20150729142427,20150729142427,20150720,OZIX,JA70003000,,1845083,89808.7423,1238.9814000000001,,
N60485,2015072701,2015,Lightning,2015-N60485,4.2,2015 ROLLOVER,20150727,20150916163247,20150720,Unknown                                           ,JA70003000,,1845084,42763.397,1818.5120000000002,,
N60508,2015072301,2015,Lightning,2015-N60508,2,2015 ROLLOVER,20150723,20150730115045,20150720,OZIX,JA70003000,,1845085,20146.7982,935.2383000000001,,
N60510,2015072401,2015,Lightning,2015-N60510,24.5,2015 ROLLOVER,20150724,20150724193652,20150722,OZIX,JA70003000,,1845086,245964.8725,1786.8266,,
